sno,sna,tot,sbi,sarea,bemp
1001,大鵬華城,38,24,新店區,14
1002,汐止火車站,56,7,汐止區,49
1003,汐止區公所,46,5,汐止區,41
1004,國泰綜合醫院,56,31,汐止區,25
1005,裕隆公園,40,11,新店區,29
1006,捷運大坪林站(3號出口),32,17,新店區,12
1007,汐科火車站(北),34,11,汐止區,23
1008,興華公園,40,35,三重區,5
1009,三重國民運動中心,68,47,三重區,20
1010,捷運三重站(3號出口),34,8,三重區,26
1011,樟樹國小,48,35,汐止區,13
1012,金龍國小,52,35,汐止區,17
1013,白雲國小,46,44,汐止區,2
1014,東勢宜興活動中心,52,36,汐止區,14
1015,後港公園,40,33,新莊區,7
1016,福營行政中心,42,8,新莊區,34
1017,西盛公園,36,25,新莊區,10
1018,忠誠里(北新路2段97巷),40,1,新店區,39
1019,仁愛廣場,50,33,蘆洲區,17
1020,重陽國小,42,38,三重區,4
1021,明志國中,50,3,三重區,47
1022,三重商工,64,6,三重區,57
1023,捷運新莊站(1號出口),58,4,新莊區,54
1024,原興廣場,52,31,汐止區,20
1025,文化白雲公園,76,71,汐止區,5
1026,秀山國小,62,50,中和區,11
1027,捷運永安市場站,72,1,中和區,70
1028,福和國中,66,21,永和區,45
1029,仁愛公園,60,35,永和區,24
1030,中和公園,46,16,中和區,30
1031,金龍公園,52,40,汐止區,12
1032,重陽公園,50,39,蘆洲區,9
1033,捷運三民高中站(1號出口),78,10,蘆洲區,67
1034,中原公園,58,47,蘆洲區,9
1035,丹鳳派出所,38,29,新莊區,9
1036,小金門友誼公園,60,37,新店區,23
1037,中興寶橋路口,52,12,新店區,40
1038,新莊棒球場,74,46,新莊區,28
1039,頂溪國小,44,36,永和區,8
1040,永和國小,38,5,永和區,31
1041,秀朗國小,46,35,永和區,10
1042,台北慈濟醫院,40,16,新店區,24
1043,捷運頂溪站(1號出口),36,5,永和區,29
1044,保安永平路口,42,32,永和區,9
1045,崇光女中,36,15,新店區,20
1046,新店高中,42,27,新店區,15
1047,新莊文化藝術中心,48,5,新莊區,42
1048,中華中原路口,58,39,新莊區,19
1049,新北高中,60,11,三重區,49
1050,福壽公園,36,26,新莊區,10
1051,保長公園,28,17,汐止區,10
1052,新店公有中央市場,36,16,新店區,20
1053,永平高中,34,4,永和區,30
1054,惠國市場,36,20,新店區,16
1055,陽光橋,40,21,新店區,19
1056,中興寶慶街口,50,38,新店區,12
1057,東方科學園區,52,5,汐止區,47
1058,連興龍安路口,70,18,汐止區,52
1059,青山國民中小學,50,42,汐止區,7
1060,汐止區綜合運動場,44,4,汐止區,40
1061,汐止公園,52,3,汐止區,49
1062,保順環河西路口,58,45,永和區,12
1063,台灣科學園區,40,8,汐止區,32
1064,中正國小,32,13,新店區,19
1065,開元市民活動中心,42,27,三重區,15
1066,雍和科學園區,44,4,汐止區,40
1067,二重國小,46,6,三重區,39
1068,二重國中,70,9,三重區,60
1069,三重行政中心,44,20,三重區,24
1070,新北市立圖書館三重分館,50,38,三重區,12
1071,三張公園,40,19,三重區,21
1072,捷運丹鳳站(1號出口),46,3,新莊區,43
1073,永福橋,50,35,永和區,14
1074,中港國小,50,37,新莊區,12
1075,六合公園,40,25,三重區,15
1076,正義公園,52,38,三重區,14
1077,捷運徐匯中學站(1號出口),56,2,蘆洲區,54
1078,黃城公園,38,31,新莊區,7
1079,捷運菜寮站(3號出口),30,8,三重區,19
1080,捷運三和國中站(1號出口),48,12,三重區,35
1081,中和國民運動中心,50,18,中和區,32
1082,四維公園,40,33,新莊區,6
1083,蘆洲國民運動中心,42,28,蘆洲區,10
1084,和平公園,36,30,三重區,6
1085,三重綜合體育館,52,18,三重區,34
1086,信義公園,36,20,三重區,16
1087,捷運小碧潭站(1號出口),44,28,新店區,16
1088,秀得里(成功路二段),28,24,永和區,4
1089,永平公園,44,34,蘆洲區,8
1090,永康公園,30,27,蘆洲區,3
1091,頭前運動公園,50,19,新莊區,31
1092,頭前國中,42,8,新莊區,34
1093,建國民權路口,46,12,新店區,33
1094,聯邦公園,48,47,三重區,1
1095,捷運蘆洲站,52,10,蘆洲區,41
1096,集成成功路口,32,22,三重區,10
1097,板橋國民運動中心,44,26,板橋區,18
1098,永安公園,38,27,板橋區,11
1099,捷運江子翠站(3號出口),44,6,板橋區,38
1100,音樂公園,48,39,板橋區,7
1101,捷運七張站(1號出口),42,13,新店區,29
1102,北新國小,44,11,新店區,33
1103,捷運新埔站(2號出口),40,3,板橋區,36
1104,聯合醫院板橋院區,34,27,板橋區,6
1105,捷運板橋站(3號出口),68,5,板橋區,63
1106,民生公園,42,29,板橋區,13
1107,新北市政府(新府路),56,9,板橋區,46
1108,捷運板橋站(1號出口),102,20,板橋區,82
1109,板橋地政事務所,52,44,板橋區,8
1110,板橋戶政事務所,44,35,板橋區,8
1111,板橋和平公園,40,30,板橋區,10
1112,碧華公園,28,18,三重區,10
1113,五福里(五華街),52,36,三重區,16
1114,同安公園,30,14,三重區,16
1115,中華里(中華路二段),38,27,新莊區,11
1116,中華自治街口,36,30,新莊區,6
1117,捷運府中站(3號出口),42,5,板橋區,37
1118,捷運亞東醫院站(2號出口),52,4,板橋區,48
1119,新泰公園,42,37,新莊區,5
1120,上林里(環河東路一段),38,34,永和區,4
1121,進安公園,34,24,三重區,10
1122,自強溪尾街口,40,29,三重區,11
1123,捷運三重國小站,54,4,三重區,50
1124,五堵火車站,50,6,汐止區,44
1125,捷運南勢角站1號出口,70,21,中和區,49
