date,weight 
2018-06,67.7
2018-06,66.6
2018-06,68.7
2018-06,68.8
2018-06,68.5
2018-06,68.4
2018-06,67.7
2018-06,67.7
2018-06,67.7
2018-06,67.4
2018-06,67.6
2018-06,66.9
2018-06,66.7
2018-06,67.1
2018-06,67.3
2018-06,67.2
2018-06,67.6
2018-06,67.3
2018-06,67.3
2018-06,67.6
2018-06,67.2
2018-06,67.0
2018-06,66.2
2018-06,66.8
2018-06,66.5
2018-06,67.1
2018-06,66.8
2018-06,67.1
2018-06,67.6
2018-06,67.6
2018-06,67.5
2018-06,67.4
2018-06,67.4
2018-06,67.0
2018-06,67.5
2018-06,66.6
2018-06,67.1
2018-06,68.1
2018-06,67.9
2018-06,67.3
2018-06,67.6
2018-06,66.3
2018-06,66.7
2018-06,67.8
2018-06,67.4
2018-06,67.1
2018-06,66.5
2018-06,66.5
2018-06,66.3
2018-06,67.2
2018-06,66.1
2018-06,66.7
2018-06,65.7
2018-06,65.6
2018-06,66.1
2018-06,65.7
2018-06,65.8
2018-06,65.8
2018-06,66.1
2018-06,65.8
2018-06,66.2
2018-06,66.4
2018-06,66.6
2018-06,65.8
2018-06,66.5
2018-06,65.4
2018-06,65.4
2018-06,66.0
2018-06,66.2
2018-06,65.8
2018-06,65.1
2018-06,64.9
2018-06,64.9
2018-06,65.4
2018-06,64.9
2018-06,65.6
2018-06,65.1
2018-06,65.7
2018-06,64.4
2018-06,64.3
2018-06,64.1
2018-06,64.2
2018-06,64.9
2018-06,65.1
2018-06,65.5
2018-06,65.0
2018-06,65.0
2018-06,65.6
2018-06,64.8
2018-06,64.7
2018-06,64.6
2018-06,65.3
2018-06,65.0
2018-06,65.0
2018-07,66.0
2018-07,66.0
2018-07,66.0
2018-07,66.3
2018-07,65.6
2018-07,65.9
2018-07,65.1
2018-07,66.1
2018-07,66.1
2018-07,65.6
2018-07,66.1
2018-07,66.0
2018-07,66.2
2018-07,65.8
2018-07,64.9
2018-07,65.8
2018-07,64.5
2018-07,65.0
2018-07,65.1
2018-07,64.8
2018-07,64.4
2018-07,64.4
2018-07,63.8
2018-07,64.8
2018-07,63.7
2018-07,63.7
2018-07,64.6
2018-07,65.1
2018-07,64.8
2018-07,64.0
2018-07,64.0
2018-07,64.6
2018-07,63.9
2018-07,63.8
2018-07,63.8
2018-07,63.7
2018-07,64.0
2018-07,63.6
2018-07,63.5
2018-07,63.6
2018-07,63.3
2018-07,63.3
2018-07,64.0
2018-07,63.1
2018-07,63.2
2018-07,62.8
2018-07,63.6
2018-07,62.6
2018-07,62.6
2018-07,62.7
2018-07,63.1
2018-07,63.1
2018-07,63.1
2018-07,62.9
2018-07,63.3
2018-07,63.3
2018-07,63.9
2018-07,63.5
2018-07,63.9
2018-07,63.2
2018-07,63.4
2018-07,63.4
2018-07,64.0
2018-07,63.6
2018-07,63.7
2018-07,63.9
2018-07,64.4
2018-07,63.6
2018-07,63.6
2018-07,63.8
2018-07,64.1
2018-07,65.5
2018-07,65.9
2018-07,65.0
2018-07,64.9
2018-07,64.6
2018-07,64.6
2018-07,64.6
2018-07,64.3
2018-07,64.2
2018-07,64.2
2018-07,64.4
2018-08,64.9
2018-08,64.6
2018-08,64.6
2018-08,64.4
2018-08,64.2
2018-08,64.2
2018-08,63.9
2018-08,64.2
2018-08,64.0
2018-08,65.5
2018-08,65.5
2018-08,65.5
2018-08,65.1
2018-08,64.6
2018-08,65.0
2018-08,64.8
2018-08,64.2
2018-08,64.4
2018-08,64.9
2018-08,65.2
2018-08,65.0
2018-08,65.2
2018-08,64.9
2018-08,65.0
2018-08,65.0
2018-08,65.7
2018-08,65.4
2018-08,65.6
2018-08,65.4
2018-08,65.6
2018-08,66.0
2018-08,64.9
2018-08,65.7
2018-08,65.9
2018-08,64.4
2018-08,64.5
2018-08,64.3
2018-08,64.1
2018-08,64.6
2018-08,64.7
2018-08,64.4
2018-08,64.4
2018-08,65.1
2018-08,65.1
2018-08,65.1
2018-08,65.1
2018-08,65.4
2018-08,65.1
2018-08,65.1
2018-08,65.0
2018-08,65.4
2018-08,66.1
2018-09,65.7
2018-09,65.9
2018-09,66.5
2018-09,67.0
2018-09,66.5
2018-09,66.4
2018-09,66.6
2018-09,66.2
2018-09,66.4
2018-09,65.1
2018-09,65.5
2018-09,66.1
2018-09,66.9
2018-09,66.8
2018-09,66.5
2018-09,65.6
2018-09,65.7
2018-09,66.5
2018-09,67.1
2018-09,66.5
2018-09,67.0
2018-09,67.8
2018-09,67.9
2018-09,68.6
2018-09,68.6
2018-09,68.8
2018-10,68.8
2018-10,68.2
2018-10,68.2
2018-10,68.5
2018-10,68.3
2018-10,68.2
2018-10,68.5
2018-10,68.6
2018-10,68.9
2018-10,69.1
2018-10,68.5
2018-10,69.1
2018-10,69.0
2018-10,69.0
2018-10,70.1
2018-10,69.9
2018-10,70.1
2018-10,69.5
2018-10,69.2
2018-10,68.3
2018-10,68.3
2018-10,68.3
2018-10,68.3
2018-10,68.1
2018-10,67.7
2018-10,68.1
2018-10,68.1
2018-10,68.0
2018-10,68.4
2018-10,68.3
2018-10,68.3
2018-10,68.3
2018-10,68.7
2018-10,68.0
2018-10,69.9
2018-10,69.9
2018-10,69.8
2018-10,68.6
2018-11,67.8
2018-11,67.7
2018-11,67.5
2018-11,69.1
2018-11,68.5
2018-11,68.5
2018-11,69.3
2018-11,68.5
2018-11,68.2
2018-11,68.2
2018-11,67.7
2018-11,68.4
2018-11,67.6
2018-11,67.5
2018-11,68.0
2018-11,67.5
2018-11,67.3
2018-11,68.0
2018-11,67.6
2018-11,68.4
2018-11,70.2
2018-11,69.6
2018-11,68.5
2018-11,69.3
2018-11,68.1
2018-11,67.6
2018-11,69.4
2018-11,68.7
2018-11,68.3
2018-12,69.7
2018-12,69.7
2018-12,68.7
2018-12,70.5
2018-12,70.1
2018-12,69.4
2018-12,69.7
2018-12,68.9
2018-12,69.4
2018-12,70.3
2018-12,70.3
2019-01,71.7
2019-01,71.7
2019-01,71.7
2019-01,71.0
2019-01,71.3
2019-01,71.0
2019-01,69.8
2019-01,70.1
2019-01,71.5
2019-01,71.4
2019-01,71.9
2019-01,71.1
2019-01,71.1
2019-01,71.2
2019-01,70.8
2019-01,71.0
2019-01,70.7
2019-01,70.6
2019-01,71.0
2019-01,70.5
2019-02,71.4
2019-02,72.1
2019-02,71.3
2019-02,72.0
2019-02,72.4
2019-02,73.1
2019-02,73.1
2019-02,71.9
2019-02,71.0
2019-02,71.1
2019-02,70.9
2019-02,71.4
2019-02,71.0
2019-02,71.0
2019-02,71.7
2019-02,70.9
2019-02,70.7
2019-02,71.6
2019-02,71.5
2019-02,72.0
2019-02,71.6
2019-02,71.8
2019-02,71.9
2019-02,71.6
2019-02,71.3
2019-03,72.9
2019-03,72.6
2019-03,72.5
2019-03,72.7
2019-03,71.8
2019-03,72.1
2019-03,72.3
2019-03,72.3
2019-03,72.3
2019-03,72.3
2019-03,72.7
2019-03,72.5
2019-03,72.9
2019-03,73.0
2019-03,72.6
2019-03,72.8
2019-03,73.7
2019-03,73.2
2019-03,73.4
2019-03,72.3
2019-03,73.1
2019-03,73.4
2019-03,73.3
2019-03,72.7
2019-03,72.7
2019-03,73.4
2019-04,73.4
2019-04,71.7
2019-04,72.7
2019-04,71.9
2019-04,71.9
2019-04,71.5
2019-04,71.5
2019-04,71.3
2019-04,70.8
2019-04,71.2
2019-04,70.8
2019-04,70.8
2019-04,70.2
2019-04,70.2
2019-04,70.1
2019-04,69.9
2019-04,73.0
2019-04,71.6
2019-04,72.0
