type,startTime,sportTime,distance,maxPace,minPace,avgPace,calories
9,1508237247,2800,8.626561,0.060038004,14418.0,0.19419906,386.0
9,1508195648,2403,8.074727,0.06265449,13777.0,0.17427367,376.0
9,1507422720,7954,9.7642765,0.04803005,62343.0,0.12758274,1730.0
1,1506640259,6632,8.901289,0.059838064,12864.0,0.515526,806.0
1,1506601577,1676,8.886686,0.063608274,11406.0,0.14693727,751.0
1,1506561891,1509,6.999231,0.05641685,13028.0,0.11574558,864.0
1,1506475165,3851,8.405263,0.057386193,12199.0,0.31559277,787.0
1,1506426208,1908,7.8929243,0.056546833,12397.0,0.15389992,817.0
9,1506389309,1727,7.087583,0.059494004,13253.0,0.13015823,364.0
9,1506349317,1953,8.122833,0.059728883,12245.0,0.15931834,337.0
9,1506302040,1865,7.800691,0.061998527,13009.0,0.14335385,359.0
9,1506223889,4035,9.98912,0.04963984,33640.0,0.119945444,947.0
9,1506078283,4879,9.886047,0.053311266,41616.0,0.117213346,1167.0
9,1506042506,1722,8.298366,0.059383586,12920.0,0.13319547,360.0
9,1505996789,1202,5.9377027,0.051806785,11337.0,0.1059295,320.0
9,1505960581,1698,9.471437,0.033473473,10829.0,0.15670532,301.0
9,1505957473,2333,9.510043,0.06346693,13515.0,0.17246246,367.0
9,1505908559,1659,9.955593,0.06317737,12076.0,0.13737693,334.0
9,1505869915,1524,6.9737043,0.05958145,13100.0,0.116180345,365.0
9,1505822502,2686,9.82129,0.051946636,12454.0,0.21557711,341.0
9,1505776013,1674,9.489303,0.051771894,13114.0,0.12764278,366.0
9,1505733190,2178,8.539557,0.05913337,11988.0,0.18167065,328.0
9,1505689594,1646,6.251736,0.064725526,13064.0,0.12599121,360.0
9,1505636005,1191,5.8141794,0.050427113,8553.0,0.13912123,234.0
9,1505630206,4464,9.37922,0.052708793,34008.0,0.13123283,945.0
9,1505468038,6538,7.9065404,0.058176912,42087.0,0.15529601,1166.0
9,1505430478,2229,8.546709,0.03466257,13298.0,0.16753437,359.0
9,1505395873,1835,7.103972,0.06589221,12022.0,0.15255189,330.0
9,1505358197,2120,9.063289,0.071365245,12987.0,0.16315962,351.0
9,1505303327,1593,5.02373,0.06692383,11766.0,0.13529705,326.0
9,1505266297,1598,8.666056,0.05968728,13285.0,0.12020355,372.0
9,1505214329,1525,6.425926,0.053180985,10194.0,0.14949448,277.0
9,1505171436,1827,9.872717,0.05530372,13059.0,0.13974184,359.0
9,1505128723,2522,9.892241,0.057548914,13586.0,0.18548357,364.0
9,1505085031,2331,9.677111,0.058039516,13340.0,0.17466222,362.0
9,1504929192,2003,8.0203495,0.059766665,9416.0,0.21272263,258.0
9,1504917178,1198,6.273829,0.053426776,7664.0,0.15616682,209.0
9,1504870642,3696,9.131152,0.06005475,14237.0,0.2595964,387.0
9,1504825701,1836,7.6205792,0.05338761,13201.0,0.13900064,365.0
9,1504783970,2094,8.393569,0.056288924,12468.0,0.16785872,341.0
9,1504739246,2048,9.717897,0.05578029,13129.0,0.15591319,361.0
9,1504695237,1468,7.455851,0.05280637,11977.0,0.12247988,333.0
9,1504658017,1951,9.908411,0.057707805,13062.0,0.14935748,357.0
9,1504611666,2886,8.4923115,0.058368158,14993.0,0.19248925,408.0
9,1504566367,1859,7.729751,0.053261243,13061.0,0.1421761,364.0
9,1504522306,1943,7.9578714,0.056522183,11931.0,0.1628484,325.0
9,1504480064,2304,7.977653,0.057073157,12954.0,0.1778532,352.0
9,1504405415,3053,6.5392113,0.0050740233,40158.0,0.076023124,1159.0
9,1504262692,1985,9.213061,0.05885962,8565.0,0.23173948,228.0
9,1504221016,1864,8.692734,0.052520763,13201.0,0.14111961,362.0
9,1504178066,3291,9.276343,0.06087748,13764.0,0.23902568,368.0
1,1504144132,1965,8.204934,0.05615518,12993.0,0.15115704,862.0
1,1504095840,1552,9.856176,0.05337472,11996.0,0.12928598,800.0
1,1504048152,1937,8.945422,0.054884624,13020.0,0.14869063,859.0
9,1504007663,1866,8.411504,0.05370566,11971.0,0.1557912,327.0
9,1503971681,1474,7.227305,0.052432742,12961.0,0.113640726,364.0
9,1503920537,1719,7.9118276,0.060410384,11975.0,0.14354356,330.0
9,1503885142,1651,6.8542886,0.049691748,13301.0,0.1239742,368.0
9,1503818284,4163,9.120871,0.049202636,33287.0,0.12500077,934.0
9,1503662367,4375,7.9011292,0.049746316,41179.0,0.10619317,1163.0
9,1503625967,1752,8.687466,0.046613067,12945.0,0.13526444,357.0
9,1503577239,1911,9.701217,0.06424452,11989.0,0.15938394,329.0
9,1503536744,1989,9.552821,0.05704668,13063.0,0.15210663,363.0
9,1503205163,4154,9.852254,0.047847338,33869.0,0.12264869,955.0
1,1457517804,1967,1.502724,0.27176926137463064,3562.508545,0.552139,306.216796875
