year,nowkm,lit,op 
2014,126,3.39,105 
2014,110,3.42,101 
2014,125,3.5,100 
2014,133,3.52,100 
2014,122,3.64,100 
2014,112,3.39,90 
2014,117,3.39,90 
2015,113,3.24,84 
2015,98,3.19,82 
2015,122,2.71,67 
2015,140,3.47,82 
2015,123,3.8,90 
2015,97,3.36,79 
2015,126,2.46,58 
2015,126,3.84,97 
2015,104,3.72,100 
2015,100,3.14,82 
2015,121,2.89,76 
2015,113,3.07,81 
2015,118,3.2,83 
2015,259,3.14,79 
2015,119,4.01,102 
2015,132,3.32,86 
2015,119,3.45,89 
2015,108,3.43,91 
2015,124,3.48,91 
2015,145,3.46,91 
2015,109,3.89,104 
2015,110,2.91,80 
2015,138,3.12,86 
2015,110,3.69,100 
2015,105,3.44,90 
2015,130,2.94,77 
2015,134,3.69,100 
2015,120,3.66,100 
2015,85,3.33,90 
2015,103,2.95,80 
2015,139,2.99,78 
2015,124,4.06,106 
2015,127,2.95,77 
2015,101,3.85,100 
2015,130,2.88,73 
2015,123,3.7,91 
2015,159,3.57,88 
2015,107,4.01,100 
2015,127,3.38,83 
2015,129,3.52,84 
2015,125,3.63,90 
2015,123,4.0,100 
2015,106,3.7,91 
2015,99,3.43,83 
2015,109,2.78,67 
2015,97,3.11,75 
2015,89,3.08,77 
2015,102,2.73,68 
2015,125,3.11,77 
2015,125,3.81,91 
2015,122,3.69,89 
2015,116,3.31,80 
2015,92,3.17,77 
2015,114,2.94,69 
2015,142,2.95,67 
2015,162,4.35,101 
2015,143,4.21,97 
2015,136,3.86,86 
2015,122,3.42,74 
2015,141,3.39,72 
2016,139,4.09,88 
2016,157,4.16,87 
2016,151,4.27,85 
2016,120,3.99,79 
2016,113,3.36,70 
2016,134,3.51,73 
2016,121,3.56,73 
2016,128,3.41,73 
2016,131,3.76,80 
2016,110,3.3,72 
2016,154,3.33,76 
2016,123,4.53,102 
2016,92,2.66,61 
2016,123,3.16,71 
2016,121,3.45,77 
2016,127,3.25,76 
2016,141,3.73,88 
2016,125,4.18,100 
2016,126,3.43,82 
2016,150,3.49,85 
2016,125,3.99,100 
2016,158,3.67,92 
2016,117,3.92,100 
2016,99,3.7,94 
2016,127,3.06,76 
2016,111,3.66,91 
2016,117,3.48,86 
2016,114,3.21,80 
2016,144,3.42,84 
2016,127,3.94,95 
2016,124,3.91,94 
2016,128,3.39,80 
2016,118,3.75,87 
2016,115,3.44,81 
2016,144,3.37,83 
2016,134,3.63,90 
2016,120,4.02,98 
2016,123,3.69,90 
2016,117,3.45,83 
2016,130,3.32,80 
2016,146,4,96 
2016,126,3.95,100 
2016,140,3.75,95 
2016,135,3.83,98 
2016,133,4.27,108 
2016,133,4.07,98 
2016,149,3.89,93 
2016,143,4.1,98 
2016,142,3.83,95 
2016,144,4.07,102 
2016,127,3.81,99 
2016,123,3.59,95 
2016,132,3.63,95 
2017,130,3.75,100 
2017,131,3.69,99 
2017,116,2.28,60 
2017,108,3.46,91 
2017,150,3.52,94 
2017,145,3.61,95 
2017,137,3.54,93 
2017,144,3.77,100 
2017,129,3.72,98 
2017,156,3.41,90 
2017,135,3.6,90 
2017,145,3.43,86 
2017,141,4.03,104 
2017,155,4.29,112 
2017,91,4.22,108 
2017,81,2.58,65 
2017,158,2.61,66 
2017,236,3.61,90 
2017,136,3.44,87 
2017,126,3.96,98 
2017,140,3.55,87 
2017,122,4.07,100 
2017,100,3.5,84 
2017,154,3.33,80 
2017,131,4.22,104 
2017,114,3.81,94 
2017,106,3.45,83 
2017,110,3.43,84 
2017,114,3.31,81 
2017,89,3.01,76 
2017,123,3.71,92 
2017,87,3.34,85 
2017,114,2.54,65 
2017,97,3.84,97 
2017,106,3.34,97 
2017,99,3.44,86 
2017,106,3.3,83 
2017,91,3.8,96 
2017,114,2.72,69 
2017,129,3.71,94 
2017,70,4.03,104 
2017,104,2.14,55 
2017,115,3.31,86 
2017,205,3.72,97 
2017,49,3.85,103 
2017,113,2.3,64 
2018,99,3.38,96 
2018,95,2.91,83 
2018,107,2.96,85 
2018,101,3.75,104 
2018,87,3.0,83 
2018,123,3.44,95 
2018,77,3.71,105 
2018,93,3.15,91 
2018,72,3.88,115 
2018,84,3.02,92 
2018,81,3.26,98 
2018,105,3.18,96 
2018,110,2.99,90 
2018,117,3.43,104 
2018,61,3.28,100 
2018,105,2.75,83 
2018,123,2.73,87 
2018,123,3.5,105 
2018,100,3.58,108 
2018,107,3.06,92 
2018,117,3.14,95 
2018,92,3.13,94 
2018,134,2.83,85 
2018,104,4.19,127 
2018,91,2.92,90 
2018,104,3.1,95 
2018,118,3.62,112 
2018,115,2.71,86 
2018,104,3.21,100 
2018,101,3.17,100 
2018,102,3.18,100 
2018,103,3.17,100 
2018,110,2.62,82 
2018,126,3.3,102 
2018,113,3.87,120 
2018,119,2.98,92 
2018,115,3.25,97 
2018,103,3.42,100 
2018,113,2.96,84 
2018,126,3.43,95 
2018,100,3.42,95 
2018,126,2.96,79 
2019,105,3.85,100 
2019,105,2.96,82 
2019,102,3.02,84 
2019,110,3.06,85 
2019,102,3.24,90 
2019,117,2.86,79 
2019,91,2.69,75 
2019,132,3.0,83 
2019,120,3.71,104 
2019,78,3.36,95 
2019,112,2.82,81 
2019,88,3.27,95 
2019,88,2.74,80 
2019,107,3.03,91 
2019,105,3.42,104 
2019,119,3.34,100 
2019,43,1.68,48 
2019,119,3.46,100 
2019,113,3.97,104 
2019,133,4.21,120 
2019,102,3.58,100 
2019,81,3.63,105 
2020,86,3.25,89 
2020,73,3.38,86 
2020,44,2.58,50 
2020,105,1.89,33 
2020,93,2.82,50 
2020,96,3.1,61 
2020,77,2.61,54 
2020,94,2.61,56 
2020,80,2.54,56 
2020,74,2.4,55 
2020,101,2.37,55 
