加油日期,累積公里數,加油費用,加油公升數,95無鉛汽油油價,下次加油累積公里數,行駛公里數,油耗,每公里費用 
2014/11/26,62615,105,3.39,30.97,62741,126,37.17,0.83 
2014/12/02,62741,101,3.42,29.53,62851,110,32.16,0.92 
2014/12/08,62851,100,3.5,28.57,62976,125,35.71,0.80 
2014/12/12,62976,100,3.52,28.41,63109,133,37.78,0.75 
2014/12/18,63109,100,3.64,27.47,63231,122,33.52,0.82 
2014/12/24,63231,90,3.39,26.55,63343,112,33.04,0.80 
2014/12/28,63343,90,3.39,26.55,63460,117,34.51,0.77 
2015/01/05,63460,84,3.24,25.93,63573,113,34.88,0.74 
2015/01/09,63573,82,3.19,25.71,63671,98,30.72,0.84 
2015/01/14,63671,67,2.71,24.72,63793,122,45.02,0.55 
2015/01/20,63793,82,3.47,23.63,63933,140,40.35,0.59 
2015/01/25,63933,90,3.8,23.68,64056,123,32.37,0.73 
2015/02/02,64056,79,3.36,23.51,64153,97,28.87,0.81 
2015/02/05,64153,58,2.46,23.58,64279,126,51.22,0.46 
2015/02/13,64279,97,3.84,25.26,64405,126,32.81,0.77 
2015/02/23,64405,100,3.72,26.88,64509,104,27.96,0.96 
2015/03/02,64509,82,3.14,26.11,64609,100,31.85,0.82 
2015/03/05,64609,76,2.89,26.30,64730,121,41.87,0.63 
2015/03/13,64730,81,3.07,26.38,64843,113,36.81,0.72 
2015/03/18,64843,83,3.2,25.94,64961,118,36.88,0.70 
2015/03/24,64961,79,3.14,25.16,65220,259,82.48,0.31 
2015/04/07,65220,102,4.01,25.44,65339,119,29.68,0.86 
2015/04/14,65339,86,3.32,25.90,65471,132,39.76,0.65 
2015/04/20,65471,89,3.45,25.80,65590,119,34.49,0.75 
2015/04/25,65590,91,3.43,26.53,65698,108,31.49,0.84 
2015/04/29,65698,91,3.48,26.15,65822,124,35.63,0.73 
2015/05/06,65822,91,3.46,26.30,65967,145,41.91,0.63 
2015/05/14,65967,104,3.89,26.74,66076,109,28.02,0.95 
2015/05/21,66076,80,2.91,27.49,66186,110,37.80,0.73 
2015/05/25,66186,86,3.12,27.56,66324,138,44.23,0.62 
2015/06/02,66324,100,3.69,27.10,66434,110,29.81,0.91 
2015/06/08,66434,90,3.44,26.16,66539,105,30.52,0.86 
2015/06/11,66539,77,2.94,26.19,66669,130,44.22,0.59 
2015/06/17,66669,100,3.69,27.10,66803,134,36.31,0.75 
2015/06/24,66803,100,3.66,27.32,66923,120,32.79,0.83 
2015/06/30,66923,90,3.33,27.03,67008,85,25.53,1.06 
2015/07/06,67008,80,2.95,27.12,67111,103,34.92,0.78 
2015/07/13,67111,78,2.99,26.09,67250,139,46.49,0.56 
2015/07/18,67250,106,4.06,26.11,67374,124,30.54,0.85 
2015/07/24,67374,77,2.95,26.10,67501,127,43.05,0.61 
2015/07/30,67501,100,3.85,25.97,67602,101,26.23,0.99 
2015/08/04,67602,73,2.88,25.35,67732,130,45.14,0.56 
2015/08/10,67732,91,3.7,24.59,67855,123,33.24,0.74 
2015/08/14,67855,88,3.57,24.65,68014,159,44.54,0.55 
2015/08/21,68014,100,4.01,24.94,68121,107,26.68,0.93 
2015/08/26,68121,83,3.38,24.56,68248,127,37.57,0.65 
2015/09/01,68248,84,3.52,23.80,68377,129,36.65,0.65 
2015/09/08,68377,90,3.63,24.90,68502,125,34.44,0.72 
2015/09/13,68502,100,4.0,24.90,68625,123,30.75,0.81 
2015/09/17,68625,91,3.7,24.60,68731,106,28.65,0.86 
2015/09/22,68731,83,3.43,24.10,68830,99,28.86,0.84 
2015/10/01,68830,67,2.78,24.20,68939,109,39.21,0.61 
2015/10/06,68939,75,3.11,24.20,69036,97,31.19,0.77 
2015/10/12,69036,77,3.08,25.00,69125,89,28.90,0.87 
2015/10/15,69125,68,2.73,25.00,69227,102,37.36,0.67 
2015/10/20,69227,77,3.11,24.70,69352,125,40.19,0.62 
2015/10/26,69352,91,3.81,24.00,69477,125,32.81,0.73 
2015/11/02,69477,89,3.69,24.00,69599,122,33.06,0.73 
2015/11/09,69599,80,3.31,24.20,69715,116,35.05,0.69 
2015/11/13,69715,77,3.17,24.20,69807,92,29.02,0.84 
2015/11/18,69807,69,2.94,23.60,69921,114,38.78,0.61 
2015/11/24,69921,67,2.95,22.90,70063,142,48.14,0.47 
2015/12/01,70063,101,4.35,23.20,70225,162,37.24,0.62 
2015/12/09,70225,97,4.21,23.00,70368,143,33.97,0.68 
2015/12/15,70368,86,3.86,22.20,70504,136,35.23,0.63 
2015/12/22,70504,74,3.42,21.50,70626,122,35.67,0.61 
2015/12/29,70626,72,3.39,21.30,70767,141,41.59,0.51 
2016/01/05,70767,88,4.09,21.40,70906,139,33.99,0.63 
2016/01/12,70906,87,4.16,20.90,71063,157,37.74,0.55 
2016/01/19,71063,85,4.27,19.80,71214,151,35.36,0.56 
2016/01/26,71214,79,3.99,19.70,71334,120,30.08,0.66 
2016/02/02,71334,70,3.36,20.70,71447,113,33.63,0.62 
2016/02/07,71447,73,3.51,20.80,71581,134,38.18,0.54 
2016/02/19,71581,73,3.56,20.40,71702,121,33.99,0.60 
2016/02/25,71702,73,3.41,21.30,71830,128,37.54,0.57 
2016/03/04,71830,80,3.76,21.30,71961,131,34.84,0.61 
2016/03/10,71961,72,3.3,21.80,72071,110,33.33,0.65 
2016/03/16,72071,76,3.33,22.70,72225,154,46.25,0.49 
2016/03/24,72225,102,4.53,22.60,72348,123,27.15,0.83 
2016/03/31,72348,61,2.66,22.80,72440,92,34.59,0.66 
2016/04/07,72440,71,3.16,22.50,72563,123,38.92,0.58 
2016/04/13,72563,77,3.45,22.30,72684,121,35.07,0.64 
2016/04/19,72684,76,3.25,23.40,72811,127,39.08,0.60 
2016/04/27,72811,88,3.73,23.50,72952,141,37.80,0.62 
2016/05/04,72952,100,4.18,24.00,73077,125,29.90,0.80 
2016/05/11,73077,82,3.43,24.00,73203,126,36.73,0.65 
2016/05/19,73203,85,3.49,24.30,73353,150,42.98,0.57 
2016/05/27,73353,100,3.99,25.00,73478,125,31.33,0.80 
2016/06/02,73478,92,3.67,25.00,73636,158,43.05,0.58 
2016/06/13,73636,100,3.92,25.40,73753,117,29.85,0.85 
2016/06/17,73753,94,3.7,25.30,73852,99,26.76,0.95 
2016/06/22,73852,76,3.06,24.80,73979,127,41.50,0.60 
2016/06/29,73979,91,3.66,25.00,74090,111,30.33,0.82 
2016/07/04,74090,86,3.48,24.80,74207,117,33.62,0.74 
2016/07/07,74207,80,3.21,24.80,74321,114,35.51,0.70 
2016/07/14,74321,84,3.42,24.50,74465,144,42.11,0.58 
2016/07/21,74465,95,3.94,24.10,74592,127,32.23,0.75 
