調價日期,無鉛汽油95 
2014/1/6,35.4 
2014/1/13,35 
2014/1/20,34.9 
2014/1/27,35.2 
2014/2/10,34.9 
2014/2/17,35.3 
2014/2/24,35.5 
2014/3/3,35.4 
2014/3/17,35.1 
2014/3/31,35.2 
2014/4/7,34.9 
2014/4/21,35.3 
2014/4/28,35.4 
2014/5/5,35.2 
2014/5/12,35 
2014/5/19,35.3 
2014/5/26,35.5 
2014/6/2,35.4 
2014/6/9,35.2 
2014/6/16,35.4 
2014/6/23,36 
2014/6/30,35.9 
2014/7/7,35.5 
2014/7/14,35.1 
2014/7/21,34.9 
2014/7/28,35 
2014/8/4,34.9 
2014/8/11,34.6 
2014/8/18,34.3 
2014/8/25,34 
2014/9/1,34.2 
2014/9/8,34 
2014/9/15,33.5 
2014/9/22,33.4 
2014/9/29,33.2 
2014/10/6,33 
2014/10/13,32.4 
2014/10/20,31.5 
2014/10/27,31.3 
2014/11/10,30.7 
2014/11/17,30.2 
2014/11/24,29.8 
2014/12/1,29.6 
2014/12/8,28.4 
2014/12/15,27.4 
2014/12/22,26.4 
2014/12/29,26.5 
2015/1/5,25.8 
2015/1/12,24.6 
2015/1/19,23.6 
2015/1/26,23.7 
2015/2/2,23.6 
2015/2/9,25.5 
2015/2/16,26 
2015/2/23,26.8 
2015/3/2,26.5 
2015/3/9,26.7 
2015/3/16,26 
2015/3/23,25.2 
2015/3/30,25.7 
2015/4/6,25.6 
2015/4/13,25.9 
2015/4/20,26.7 
2015/4/27,27 
2015/5/4,27.2 
2015/5/11,27.8 
2015/5/18,27.6 
2015/5/25,27.4 
2015/6/1,27.1 
2015/6/8,27.2 
2015/6/15,27.4 
2015/6/22,27.2 
2015/6/29,27.1 
2015/7/6,27 
2015/7/13,26.2 
2015/7/27,26 
2015/8/3,25.6 
2015/8/10,24.8 
2015/8/17,24.9 
2015/8/24,24.6 
2015/8/31,23.9 
2015/9/7,24.9 
2015/9/14,24.6 
2015/9/21,24.2 
2015/9/28,24.3 
2015/10/12,25.1 
2015/10/19,24.7 
2015/10/26,24.1 
2015/11/9,24.3 
2015/11/16,23.7 
2015/11/23,23 
2015/11/30,23.2 
2015/12/7,23.1 
2015/12/14,22.3 
2015/12/21,21.6 
2015/12/28,21.4 
2016/1/11,21 
2016/1/18,19.9 
2016/1/25,19.8 
2016/2/1,20.8 
2016/2/8,21.4 
2016/2/15,20.5 
2016/2/22,21.4 
2016/3/7,21.9 
2016/3/14,22.8 
2016/3/21,22.7 
2016/3/28,22.9 
2016/4/4,22.6 
2016/4/11,22.4 
2016/4/18,23.5 
2016/4/25,23.6 
2016/5/2,24.1 
2016/5/16,24.4 
2016/5/23,25.1 
2016/6/13,25.4 
2016/6/20,24.9 
2016/6/27,25.1 
2016/7/4,24.9 
2016/7/11,24.6 
2016/7/18,24.2 
2016/8/1,23.6 
2016/8/8,23.3 
2016/8/15,23.7 
2016/8/22,24.8 
2016/8/29,24.9 
2016/9/5,24.4 
2016/9/19,24.2 
2016/9/26,24.1 
2016/10/3,24.2 
2016/10/10,25.3 
2016/10/17,25.5 
2016/10/31,25.3 
2016/11/7,24.3 
2016/11/14,24 
2016/11/21,24.1 
2016/11/28,24.8 
2016/12/5,25.1 
2016/12/12,26.1 
2016/12/19,26.4 
2017/1/2,26.8 
2017/1/16,26.5 
2017/1/23,26.4 
2017/2/6,26.5 
2017/2/13,26.4 
2017/2/20,26.3 
2017/2/27,26.4 
2017/3/13,26.1 
2017/3/20,25.3 
2017/3/27,25.1 
2017/4/3,25.2 
2017/4/10,25.8 
2017/4/17,26.2 
2017/4/24,25.7 
2017/5/1,25.2 
2017/5/8,24.9 
2017/5/22,25.4 
2017/5/29,25.6 
2017/6/5,25 
2017/6/12,24.5 
2017/6/19,24.3 
2017/6/26,24 
2017/7/3,24.3 
2017/7/10,24.7 
2017/7/17,24.4 
2017/7/24,24.7 
2017/7/31,24.9 
2017/8/7,25.4 
2017/8/21,25.1 
2017/8/28,25.3 
2017/9/4,25.4 
2017/9/11,25.8 
2017/9/18,26 
2017/9/25,26.3 
2017/10/2,26.7 
2017/10/9,26.4 
2017/10/23,26.6 
2017/10/30,26.8 
2017/11/6,27.3 
2017/11/13,27.9 
2017/11/20,27.6 
2017/11/27,27.7 
2017/12/11,27.6 
2017/12/18,27.8 
2017/12/25,27.9 
2018/1/1,28.2 
2018/1/8,28.4 
2018/1/15,28.6 
2018/1/22,28.7 
2018/2/5,28.5 
2018/2/12,27.9 
2018/2/19,27.3 
