調價日期,無鉛汽油92,無鉛汽油95,無鉛汽油98,超級/高級柴油,二行程無鉛,煤油,甲種漁船油(KL),乙種漁船油(KL),低硫燃料油(0.5%)(KL),甲種低硫燃料油/低硫鍋爐油(0.5%)(KL),特種低硫燃料油(KL),低硫鍋爐油(1%)(KL)
2020/6/30,,,,,,26.7,,,,,,
2020/6/29,22,23.5,25.5,19.4,,,12193,8278,,,,
2020/6/23,,,,,,26.2,,,,,,
2020/6/22,21.7,23.2,25.2,19.1,,,11893,7978,,,,
2020/6/16,,,,,,25.9,,,,,,
2020/6/15,21.4,22.9,24.9,18.8,,,11593,7678,,,,
2020/6/9,,,,,,25.4,,,,,,
2020/6/8,20.6,22.1,24.1,18,,,10793,6878,,,,
2020/6/6,,,,,,,,,15063,15063,15914,
2020/6/2,,,,,,24.6,,,,,,
2020/6/1,19.9,21.4,23.4,17.4,,,10193,6278,,,,
2020/5/26,,,,,,23.9,,,,,,
2020/5/25,19.6,21.1,23.1,17.1,,,9893,5978,,,,
2020/5/19,,,,,,21.9,,,,,,
2020/5/18,19.1,20.6,22.6,16.3,,,9093,5178,,,,
2020/5/13,,,,,,19.4,,,,,,
2020/5/12,,,,,,17.4,,,,,,
2020/5/11,18.2,19.7,21.7,15.4,,,8193,4278,,,,
2020/5/6,,,,,,,,,17219,17219,17446,
2020/5/4,16.2,17.7,19.7,13.2,,,5993,2078,,,,
2020/4/28,,,,,,18.4,,,,,,
2020/4/27,16.1,17.6,19.6,13,,,5793,,,,,
2020/4/21,,,,,,19.4,,,,,,
2020/4/20,17,18.5,20.5,14,,,6793,1878,,,,
2020/4/14,,,,,,19.7,,,,,,
2020/4/13,17.9,19.4,21.4,15,,,7793,2878,,,,
2020/4/7,,,,,,20.2,,,,,,
2020/4/6,17.3,18.8,20.8,14.4,,,7193,2278,18118,18118,18620,
2020/4/1,,,,,,,,,,,20600,
2020/3/31,,,,,,21.4,,,,,,
2020/3/30,18.2,19.7,21.7,15.4,,,8193,3278,,,,
2020/3/24,,,,,,23.4,,,,,,
2020/3/23,19,20.5,22.5,16.2,,,8993,4078,,,,
2020/3/17,,,,,,24.9,,,,,,
2020/3/16,20.3,21.8,23.8,17.7,,,10493,5578,,,,
2020/3/10,,,,,,27.9,,,,,,
2020/3/9,24.1,25.6,27.6,21.7,,,14493,9578,,,,
2020/3/6,,,,,,,,,17428,17726,,
2020/3/3,,,,,,28.9,,,,,,
2020/3/2,24.7,26.2,28.2,22.4,,,15193,10278,,,,
2020/2/26,,,,,,30.7,,,,,,
2020/2/24,25.5,27,29,23.3,,,16093,11178,,,,
2020/2/17,,,,22.6,,,15393,10478,,,,
2020/2/11,,,,,,30.2,,,,,,
2020/2/10,24.9,26.4,28.4,22.7,,,15493,10578,,,,
2020/2/6,,,,,,,,,16568,17246,,
2020/2/5,,,,,,32.2,,,,,,
2020/2/3,25.9,27.4,29.4,23.7,,,16493,11578,,,,
2020/1/27,26.8,28.3,30.3,24.7,,,17493,12578,,,,
2020/1/22,,,,,,35.1,,,,,,
2020/1/20,27.1,28.6,30.6,25,,,17793,12878,,,,
2020/1/15,,,,,,37.1,,,,,,
2020/1/13,27.8,29.3,31.3,25.7,,,18493,13578,,,,
2020/1/6,,,,25.6,,,18393,13478,15812,16606,,
2019/12/30,27.7,29.2,31.2,25.7,,,18493,13578,,,,
2019/12/24,,,,,,37.6,,,,,,
2019/12/23,27.6,29.1,31.1,25.6,,,18393,13478,,,,
2019/12/17,,,,,,37.2,,,,,,
2019/12/16,27.3,28.8,30.8,25.2,,,17993,13078,,,,
2019/12/10,,,,,,36.3,,,,,,
2019/12/9,26.9,28.4,30.4,24.8,,,17593,12678,,,,
2019/12/6,,,,,,,,,16030,16705,,
2019/12/3,,,,,,36.9,,,,,,
2019/12/2,27.1,28.6,30.6,25,,,17793,12878,,,,
2019/11/25,26.9,28.4,30.4,24.7,,,17493,12578,,,,
2019/11/19,,,,,,36.3,,,,,,
2019/11/18,26.8,28.3,30.3,24.6,,,17393,12478,,,,
2019/11/11,26.6,28.1,30.1,24.4,,,17193,12278,,,,
2019/11/6,,,,,,,,,16151,16795,,
2019/10/28,26.4,27.9,29.9,24.2,,,16993,12078,,,,
2019/10/22,,,,,,36.7,,,,,,
2019/10/21,26.3,27.8,29.8,24.1,,,16893,11978,,,,
2019/10/15,,,,,,37.1,,,,,,
2019/10/14,26.2,27.7,29.7,24,,,16793,11878,,,,
2019/10/8,,,,,,37.7,,,,,,
2019/10/7,26.3,27.8,29.8,24.1,,,16893,11978,,,,
2019/10/6,,,,,,,,,16391,17067,,
2019/10/2,,,,,,38.9,,,,,,
2019/9/30,27.1,28.6,30.6,25,,,17793,12878,,,,
2019/9/24,,,,,,40,,,,,,
