調價日期	無鉛汽油92	無鉛汽油95	無鉛汽油98	超級/高級柴油	二行程無鉛	煤油	甲種漁船油(KL)	乙種漁船油(KL)	低硫燃料油(0.5%)(KL)	甲種低硫燃料油/低硫鍋爐油(0.5%)(KL)	
2014/1/1						42.3					
2014/1/2									21328	23076	
2014/1/6	33.9	35.4	37.4	32.8			25593	20678			
2014/1/8						41.6					
2014/1/13	33.5	35	37	32.4			25193	20278			
2014/1/15						41					
2014/1/20	33.4	34.9	36.9	32.2			24993	20078			
2014/1/27	33.7	35.2	37.2	32.6			25393	20478			
2014/2/7									21590	23222	
2014/2/10	33.4	34.9	36.9	32.3			25093	20178			
2014/2/17	33.8	35.3	37.3	32.7			25493	20578			
2014/2/24	34	35.5	37.5	32.9			25693	20778			
2014/2/26						42					
2014/3/2									21646	23259	
2014/3/3	33.9	35.4	37.4								
2014/3/10				32.7			25493	20578			
2014/3/12						41.5					
2014/3/17	33.6	35.1	37.1	32.5			25293	20378			
2014/3/19						41					
2014/3/24				32.4			25193	20278			
2014/3/26						40.7					
2014/3/31	33.7	35.2	37.2	32.6			25393	20478			
2014/4/2						41			21408	23104	
2014/4/7	33.4	34.9	36.9	32.2			24993	20078			
2014/4/21	33.8	35.3	37.3	32.7			25493	20578			
2014/4/23						41.5					
2014/4/28	33.9	35.4	37.4	32.8			25593	20678			
2014/5/2									21021	22779	
2014/5/5	33.7	35.2	37.2	32.6			25393	20478			
2014/5/7						41					
2014/5/12	33.5	35	37	32.4			25193	20278			
2014/5/19	33.8	35.3	37.3	32.7			25493	20578			
2014/5/26	34	35.5	37.5	32.9			25693	20778			
2014/6/2	33.9	35.4	37.4	32.8			25593	20678	21268	23012	
2014/6/4						39					
2014/6/9	33.7	35.2	37.2	32.5			25293	20378			
2014/6/16	33.9	35.4	37.4	32.8			25593	20678			
2014/6/18						41.5					
2014/6/23	34.5	36	38	33.5			26293	21378			
2014/6/25						42.5					
2014/6/30	34.4	35.9	37.9	33.4			26193	21278			
2014/7/2									21618	23334	
2014/7/7	34	35.5	37.5	33			25793	20878			
2014/7/9						41.5					
2014/7/14	33.6	35.1	37.1	32.5			25293	20378			
2014/7/16						41					
2014/7/21	33.4	34.9	36.9	32.2			24993	20078			
2014/7/28	33.5	35	37	32.4			25193	20278			
2014/8/2									20993	22834	
2014/8/4	33.4	34.9	36.9	32.3			25093	20178			
2014/8/11	33.1	34.6	36.6	32			24793	19878			
2014/8/18	32.8	34.3	36.3	31.6			24393	19478			
2014/8/20						40.5					
2014/8/25	32.5	34	36	31.3			24093	19178			
2014/8/27						40					
2014/9/1	32.7	34.2	36.2	31.4			24193	19278			
2014/9/3						39.5					
2014/9/8	32.5	34	36	31.3			24093	19178			
2014/9/15	32	33.5	35.5	30.7			23493	18578			
2014/9/17						38.8					
2014/9/22	31.9	33.4	35.4	30.6			23393	18478			
2014/9/24						38.3					
2014/9/29	31.7	33.2	35.2	30.4			23193	18278			
2014/10/1						37.9					
2014/10/6	31.5	33	35	30.2			22993	18078			
2014/10/8						37.4					
2014/10/13	30.9	32.4	34.4	29.5			22293	17378			
2014/10/15						36.5					
2014/10/20	30	31.5	33.5	28.5			21293	16378			
