,累積公里數 
1,62741
2,62851
3,62976
4,63109
5,63231
6,63343
7,63460
8,63573
9,63671
10,63793
11,63933
12,64056
13,64153
14,64279
15,64405
16,64509
17,64609
18,64730
19,64843
20,64961
21,65220
22,65339
23,65471
24,65590
25,65698
26,65822
27,65967
28,66076
29,66186
30,66324
31,66434
32,66539
33,66669
34,66803
35,66923
36,67008
37,67111
38,67250
39,67374
40,67501
41,67602
42,67732
43,67855
44,68014
45,68121
46,68248
47,68377
48,68502
49,68625
50,68731
51,68830
52,68939
53,69036
54,69125
55,69227
56,69352
57,69477
58,69599
59,69715
60,69807
61,69921
62,70063
63,70225
64,70368
65,70504
66,70626
67,70767
68,70906
69,71063
70,71214
71,71334
72,71447
73,71581
74,71702
75,71830
76,71961
77,72071
78,72225
79,72348
80,72440
81,72563
82,72684
83,72811
84,72952
85,73077
86,73203
87,73353
88,73478
89,73636
90,73753
91,73852
92,73979
93,74090
94,74207
95,74321
96,74465
97,74592
98,74716
99,74844
100,74962
101,75077
102,75221
103,75355
104,75475
105,75598
106,75715
107,75845
108,75991
109,76117
110,76257
111,76392
112,76525
113,76658
114,76807
115,76950
116,77092
117,77236
118,77363
119,77486
120,77618
121,77748
122,77879
123,77995
124,78103
125,78253
126,78398
127,78535
128,78679
129,78808
130,78964
131,79099
132,79244
133,79385
134,79540
135,79631
136,79712
137,79870
138,80106
139,80242
140,80368
141,80508
142,80630
143,80730
144,80884
145,81015
146,81129
147,81235
148,81345
149,81459
150,81548
151,81671
152,81758
153,81872
154,81969
155,82075
156,82174
157,82280
158,82371
159,82485
160,82614
161,82684
162,82788
163,82903
164,83108
165,83102
166,83157
167,83270
168,83369
169,83464
170,83571
171,83672
172,83759
173,83882
174,83959
175,84052
176,84124
177,84208
178,84289
179,84394
180,84504
181,84621
182,84682
183,84787
184,84910
185,85033
186,85133
187,85240
188,85357
189,85449
190,85583
191,85687
192,85778
193,85882
194,86000
195,86115
196,86219
197,86320
198,86422
199,86525
200,86635
201,86761
202,86874
203,86993
204,87108
205,87211
206,87324
207,87450
208,87550
209,87676
210,87781
211,87886
212,87988
213,88098
214,88200
215,88317
216,88408
217,88540
218,88660
219,88738
220,88850
221,88938
222,89026
223,89133
224,89238
225,89357
226,89400
227,89519
228,89632
229,89765
230,89867
231,89948
232,90034
233,90107
234,90151
235,90256
236,90349
237,90445
238,90522
239,90616
240,90696
241,90770
