,下次加油累積公里數 
1,62741
2,62851
3,62976
4,63109
5,63231
6,63343
7,63460
8,63573
9,63671
10,63793
11,63933
12,64056
13,64153
14,64279
15,64405
16,64509
17,64609
18,64730
19,64843
20,64961
21,65220
22,65339
23,65471
24,65590
25,65698
26,65822
27,65967
28,66076
29,66186
30,66324
31,66434
32,66539
33,66669
34,66803
35,66923
36,67008
37,67111
38,67250
39,67374
40,67501
41,67602
42,67732
43,67855
44,68014
45,68121
46,68248
47,68377
48,68502
49,68625
50,68731
51,68830
52,68939
53,69036
54,69125
55,69227
56,69352
57,69477
58,69599
59,69715
60,69807
61,69921
62,70063
63,70225
64,70368
65,70504
66,70626
67,70767
68,70906
69,71063
70,71214
71,71334
72,71447
73,71581
74,71702
75,71830
76,71961
77,72071
78,72225
79,72348
80,72440
81,72563
82,72684
83,72811
84,72952
85,73077
86,73203
87,73353
88,73478
89,73636
90,73753
91,73852
92,73979
93,74090
94,74207
95,74321
96,74465
97,74592
98,74716
99,74844
100,74962
101,75077
102,75221
103,75355
104,75475
105,75598
106,75715
107,75845
108,75991
109,76117
110,76257
111,76392
112,76525
113,76658
114,76807
115,76950
116,77092
117,77236
118,77363
119,77486
120,77618
121,77748
122,77879
123,77995
124,78103
125,78253
126,78398
127,78535
128,78679
129,78808
130,78964
131,79099
132,79244
133,79385
134,79540
135,79631
136,79712
137,79870
138,80106
139,80242
140,80368
141,80508
142,80630
143,80730
144,80884
145,81015
146,81129
147,81235
148,81345
149,81459
150,81548
151,81671
152,81758
153,81872
154,81969
155,82075
156,82174
157,82280
158,82371
159,82485
160,82614
161,82684
162,82788
163,82903
164,83108
165,83157
166,83270
167,83369
168,83464
169,83571
170,83672
171,83759
172,83882
173,83959
174,84052
175,84124
176,84208
177,84289
178,84394
179,84504
180,84621
181,84682
182,84787
183,84910
184,85033
185,85133
186,85240
187,85357
188,85449
189,85583
190,85687
191,85778
192,85882
193,86000
194,86115
195,86219
196,86320
197,86422
198,86525
199,86635
200,86761
201,86874
202,86993
203,87108
204,87211
205,87324
206,87450
207,87550
208,87676
209,87781
210,87886
211,87988
212,88098
213,88200
214,88317
215,88408
216,88540
217,88660
218,88738
219,88850
220,88938
221,89026
222,89133
223,89238
224,89357
225,89400
226,89519
227,89632
228,89765
229,89867
230,89948
231,90034
232,90107
233,90151
234,90256
235,90349
236,90445
237,90522
238,90616
239,90696
240,90770
241,90871
