日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/04/01,"19,728,466","470,841,839",23.80,23.95,23.75,23.85,+0.10,"6,148"
108/04/02,"17,598,299","420,845,576",23.90,24.00,23.85,24.00,+0.15,"5,884"
108/04/03,"24,033,481","574,587,394",24.00,24.00,23.80,24.00, 0.00,"6,083"
108/04/08,"24,269,843","582,566,082",24.00,24.15,23.90,23.95,-0.05,"5,335"
108/04/09,"26,886,595","642,959,030",24.00,24.00,23.80,24.00,+0.05,"7,173"
108/04/10,"13,819,952","331,043,998",23.95,24.00,23.90,24.00, 0.00,"4,275"
108/04/11,"17,368,700","414,662,773",23.95,24.00,23.80,23.90,-0.10,"5,049"
108/04/12,"26,332,630","625,723,346",23.90,23.90,23.70,23.85,-0.05,"6,808"
108/04/15,"20,294,657","483,438,530",23.85,24.00,23.70,24.00,+0.15,"4,964"
108/04/16,"8,156,422","195,288,098",23.95,24.00,23.90,23.90,-0.10,"3,220"
108/04/17,"8,934,021","214,125,354",23.95,24.00,23.95,23.95,+0.05,"3,077"
108/04/18,"14,803,441","354,664,784",23.90,24.00,23.90,24.00,+0.05,"2,690"
108/04/19,"8,359,668","200,921,232",24.00,24.10,23.95,24.10,+0.10,"2,808"
108/04/22,"11,058,454","267,267,640",24.15,24.20,24.10,24.20,+0.10,"3,311"
108/04/23,"15,158,767","367,188,146",24.20,24.30,24.15,24.25,+0.05,"3,816"
108/04/24,"17,526,507","425,927,132",24.30,24.40,24.25,24.25, 0.00,"3,883"
108/04/25,"10,888,297","264,252,361",24.25,24.35,24.20,24.25, 0.00,"2,553"
108/04/26,"23,147,707","569,567,722",24.35,24.80,24.30,24.75,+0.50,"6,854"
108/04/29,"30,003,220","760,773,790",24.95,25.80,24.95,25.40,+0.65,"8,949"
108/04/30,"19,037,351","482,648,769",25.40,25.45,25.25,25.35,-0.05,"5,151"
108/07/01,"35,306,031","916,178,485",26.15,26.20,25.75,26.00, 0.00,"9,488"
108/07/02,"17,007,093","439,830,447",25.90,25.90,25.80,25.90,-0.10,"5,499"
108/07/03,"13,390,417","347,094,880",25.80,26.10,25.80,26.10,+0.20,"3,785"
108/07/04,"11,580,703","305,011,231",26.15,26.40,26.15,26.40,+0.30,"3,488"
108/07/05,"10,118,607","267,725,083",26.40,26.50,26.40,26.45,+0.05,"3,227"
108/07/08,"10,787,070","284,265,186",26.45,26.50,26.30,26.35,-0.10,"3,372"
108/07/09,"11,778,825","310,168,023",26.45,26.45,26.20,26.20,-0.15,"4,093"
108/07/10,"16,664,475","440,955,605",26.40,26.50,26.35,26.50,+0.30,"4,335"
108/07/11,"36,407,620","983,207,881",26.70,27.20,26.65,27.20,+0.70,"8,559"
108/07/12,"21,214,902","579,461,619",27.35,27.45,27.20,27.35,+0.15,"5,545"
